product_id,component_id,quantity
310358061,310384020,1
310358038,310384020,1
310358071,310384020,1
310358065,310384020,1
310358047,310384020,1
310358045,310384020,1
310358053,310384020,1
310358069,310384019,1
310358037,310384019,1
310358028,310384019,1
310358036,310384019,1
310358057,310384019,1
310358062,310384019,1
310358041,310384019,1
310358066,310384021,1
310358056,310384021,1
310358027,310384021,1
310358070,310384021,1
310358049,310384021,1
310358030,310384021,1
310358043,310384021,1
310358048,310384017,1
310358060,310384017,1
310358042,310384017,1
310358054,310384017,1
310358044,310384017,1
310358050,310384017,1
310358025,310384017,1
310358059,310384018,1
310358063,310384018,1
310358034,310384018,1
310358052,310384018,1
310358039,310384018,1
310358035,310384018,1
310358058,310384018,1
310358029,310384007,1
310358033,310384007,1
310358068,310384007,1
310358067,310384007,1
310358046,310384007,1
310358040,310384007,1
310358064,310384007,1